id,timestamp,platform,region,category,post_title,target_url,backlink_url,anchor_text,link_type,status,notes
BL-0001,2026-09-07 16:21:15,Google Webmaster Ping,海外繁体,搜索引擎收录,全站 Sitemap 索引广播,https://chanzong.space/sitemap.xml,https://www.google.com/ping?sitemap=https%3A//chanzong.space/sitemap.xml,chanzong.space sitemap,Dofollow,Live,Ping 广播已送达
BL-0002,2026-09-07 16:21:15,Bing & Yahoo Webmaster Ping,海外繁体,搜索引擎收录,全站 Sitemap 索引广播,https://chanzong.space/sitemap.xml,https://www.bing.com/ping?sitemap=https%3A//chanzong.space/sitemap.xml,chanzong.space sitemap,Dofollow,Live,Ping 广播已送达
BL-0003,2026-09-07 16:21:16,IndexNow (Bing / Yandex / 国际引擎),海外繁体,主动索引推送,批量提交 6 个经典及知识网络页面,https://chanzong.space,https://www.bing.com/indexnow,chanzong.space 核心典籍库,Dofollow,Live,通过 IndexNow 协议向全球各大国际搜索引擎极速分发 6 个落地页
BL-0004,2026-09-07 16:21:53,华文网址导航 (123Cha),海外繁体,目录收录,禪宗知識庫 - 全球海量禪宗典籍與交互式知識圖譜,https://chanzong.space,https://www.123cha.com/dir/add.php,禪宗知識庫,Dofollow,Live,已自动提交收录至 华文网址导航 (123Cha)
BL-0005,2026-09-07 16:22:21,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《菩提达摩大师入道四行观》中的本心智慧,https://chanzong.space/books/liuzutanjing,https://telegra.ph/现代人的喧嚣与定力重读菩提达摩大师入道四行观中的本心智慧-09-07,《六祖法宝坛经》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《六祖法宝坛经》原书文献锚文本
BL-0006,2026-09-07 16:22:22,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《肇論》中的本心智慧,https://chanzong.space/books/biyanlu,https://telegra.ph/現代人的喧囂與定力重讀肇論中的本心智慧-09-07,《重讀《肇論》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《碧岩录》原书文献锚文本
BL-0007,2026-09-07 16:22:23,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《禅家龟鉴》中的本心智慧,https://chanzong.space/books/bashiguijusong,https://telegra.ph/现代人的喧嚣与定力重读禅家龟鉴中的本心智慧-09-07,《八识规矩颂》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《八识规矩颂》原书文献锚文本
BL-0008,2026-09-07 16:22:24,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《楞伽阿跋多羅寶經》中的本心智慧,https://chanzong.space/books/wumenguan,https://telegra.ph/現代人的喧囂與定力重讀楞伽阿跋多羅寶經中的本心智慧-09-07,《重讀《楞伽阿跋多羅寶經》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《无门关》原书文献锚文本
BL-0009,2026-09-07 16:22:45,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《云门匡真禅师广录》中的本心智慧,https://chanzong.space/books/liuzutanjing,https://telegra.ph/现代人的喧嚣与定力重读云门匡真禅师广录中的本心智慧-09-07,《六祖法宝坛经》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《六祖法宝坛经》原书文献锚文本
BL-0010,2026-09-07 16:22:46,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《楊岐方會和尚後錄》中的本心智慧,https://chanzong.space/books/biyanlu,https://telegra.ph/現代人的喧囂與定力重讀楊岐方會和尚後錄中的本心智慧-09-07,《重讀《楊岐方會和尚後錄》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《碧岩录》原书文献锚文本
BL-0011,2026-09-07 16:22:47,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《摄大乘论本》中的本心智慧,https://chanzong.space/books/bashiguijusong,https://telegra.ph/现代人的喧嚣与定力重读摄大乘论本中的本心智慧-09-07,《八识规矩颂》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《八识规矩颂》原书文献锚文本
BL-0012,2026-09-07 16:22:48,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《密庵鹹傑禪師語錄》中的本心智慧,https://chanzong.space/books/wumenguan,https://telegra.ph/現代人的喧囂與定力重讀密庵鹹傑禪師語錄中的本心智慧-09-07,《重讀《密庵鹹傑禪師語錄》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《无门关》原书文献锚文本
BL-0013,2026-09-07 16:22:49,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《维摩诘所说经 (全十四品)》中的本心智慧,https://chanzong.space/books/jingangjing,https://telegra.ph/现代人的喧嚣与定力重读维摩诘所说经-全十四品中的本心智慧-09-07,《金刚般若波罗蜜经》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《金刚般若波罗蜜经》原书文献锚文本
BL-0014,2026-09-07 16:22:50,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《禪家龜鑑》中的本心智慧,https://chanzong.space/books/wanlinglu,https://telegra.ph/現代人的喧囂與定力重讀禪家龜鑑中的本心智慧-09-07,《重讀《禪家龜鑑》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《黄檗断际禅师宛陵录》原书文献锚文本
BL-0015,2026-09-07 16:22:51,Telegraph (DA 92 高权重专栏),国内,高权重专栏,现代人的喧嚣与定力：重读《七佛传法偈》中的本心智慧,https://chanzong.space/books/changuancejin,https://telegra.ph/现代人的喧嚣与定力重读七佛传法偈中的本心智慧-09-07,《禅关策进》参修指要与在线阅读,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《禅关策进》原书文献锚文本
BL-0016,2026-09-07 16:22:52,Telegraph (DA 92 高权重专栏),海外繁体,高权重专栏,現代人的喧囂與定力：重讀《馬祖道一禪師語錄》中的本心智慧,https://chanzong.space/books/xinming,https://telegra.ph/現代人的喧囂與定力重讀馬祖道一禪師語錄中的本心智慧-09-07,《重讀《馬祖道一禪師語錄》中的本心智慧》參修指要與在線閱讀,Dofollow,Live,全篇深度导读文章，附带 D3 知识图谱与《信心铭》原书文献锚文本
BL-0017,2026-09-07 16:23:08,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《虚堂和尚语录》中的本心智慧,https://chanzong.space/books/dahuiyulu,https://telegra.ph/现代人的喧嚣与定力重读虚堂和尚语录中的本心智慧-09-07,《大慧普觉禅师语录》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《大慧普觉禅师语录》，挂载经典页与全站 D3 图谱
BL-0018,2026-09-07 16:23:09,Telegraph (高权重学术专栏),国内,文献长文,现代人的喧嚣与定力：重读《赵州真际禅师语录》中的本心智慧,https://chanzong.space/books/dongshanyulu,https://telegra.ph/现代人的喧嚣与定力重读赵州真际禅师语录中的本心智慧-09-07,《洞山良价禅师语录》原文详注与禅宗图谱,Dofollow,Live,针对国内读者深度解析《洞山良价禅师语录》，挂载经典页与全站 D3 图谱
